record_id,timestamp,intersection_id,intersection_name,latitude,longitude,vehicle_count,average_speed,signal_cycle_time,green_time,yellow_time,red_time,weather_condition,day_of_week,is_holiday,event,pollution_level,car_count,bus_count,truck_count,motorcycle_count,is_weekend,hour_of_day
9926,2023-01-07 21:20:00,6,Allahabad Junction,25.4358,81.8307,75.0,39.72,120,63,4,53,Clear,Saturday,0,0,1.21,48,4,6,17,1,21
8595,2023-01-06 23:10:00,5,Naini Bridge,25.4088,81.8592,139.0,30.33,120,51,4,65,Clear,Friday,0,0,2.86,89,13,17,20,0,23
673,2023-01-01 11:10:00,3,Chowk,25.4314,81.8437,20.0,53.28,120,69,5,46,Clear,Sunday,1,0,0.34,15,1,2,2,1,11
8744,2023-01-07 01:40:00,4,Tagore Town,25.4675,81.8867,21.0,36.06,120,59,4,57,Heavy Rain,Saturday,0,0,0.54,12,4,2,3,1,1
316,2023-01-01 05:10:00,6,Allahabad Junction,25.4358,81.8307,41.0,47.21,120,63,5,54,Clear,Sunday,1,0,0.86,26,6,2,7,1,5
1092,2023-01-01 18:10:00,2,Katra,25.455,81.8463,177.0,24.71,120,77,5,38,Clear,Sunday,1,1,3.46,111,18,15,33,1,18
3503,2023-01-03 10:20:00,3,Chowk,25.4314,81.8437,133.0,23.87,120,63,6,47,Heavy Rain,Tuesday,0,0,2.78,77,16,12,28,0,10
7477,2023-01-06 04:30:00,7,Phaphamau,25.4945,81.8686,162.0,25.93,120,79,6,35,Clear,Friday,0,0,3.16,95,14,18,35,0,4
2955,2023-01-03 01:10:00,5,Naini Bridge,25.4088,81.8592,32.0,30.79,120,60,5,55,Heavy Rain,Tuesday,0,0,0.77,19,4,5,4,0,1
6620,2023-01-05 14:10:00,10,Minto Park,25.4352,81.882,75.0,39.93,120,53,6,61,Cold Wave,Thursday,0,0,1.86,33,11,11,20,0,14
4872,2023-01-04 09:10:00,2,Katra,25.455,81.8463,152.0,29.01,120,67,3,50,Cold Wave,Wednesday,0,0,3.0,96,17,11,28,0,9
6309,2023-01-05 09:00:00,9,MNNIT Gate,25.492,81.8639,146.0,29.73,120,59,5,56,Clear,Thursday,0,0,2.87,94,14,14,24,0,9
4361,2023-01-04 00:40:00,1,Civil Lines,25.4486,81.8333,92.0,32.07,120,57,4,59,Light Rain,Wednesday,0,0,1.99,56,9,13,14,0,0
1632,2023-01-02 03:10:00,2,Katra,25.455,81.8463,113.0,33.53,120,54,3,63,Clear,Monday,0,0,2.18,75,10,11,17,0,3
6403,2023-01-05 10:40:00,3,Chowk,25.4314,81.8437,74.0,40.46,120,60,5,55,Clear,Thursday,0,0,1.37,38,5,9,22,0,10
2572,2023-01-02 18:50:00,2,Katra,25.455,81.8463,208.0,25.63,120,74,5,41,Cold Wave,Monday,0,0,4.7,116,29,21,42,0,18
5989,2023-01-05 03:40:00,9,MNNIT Gate,25.492,81.8639,91.0,36.89,120,59,3,58,Clear,Thursday,0,0,1.79,47,9,9,26,0,3
8006,2023-01-06 13:20:00,6,Allahabad Junction,25.4358,81.8307,165.0,13.89,120,86,4,30,Clear,Friday,0,2,3.32,93,16,18,38,0,13
4287,2023-01-03 23:20:00,7,Phaphamau,25.4945,81.8686,67.0,42.18,120,61,3,56,Clear,Tuesday,0,0,1.27,40,8,3,16,0,23
8319,2023-01-06 18:30:00,9,MNNIT Gate,25.492,81.8639,168.0,27.2,120,79,5,36,Clear,Friday,0,0,3.53,95,20,16,37,0,18
988,2023-01-01 16:20:00,8,Jhunsi,25.4326,81.9061,39.0,42.95,120,64,6,50,Clear,Sunday,1,0,0.84,22,6,2,9,1,16
8230,2023-01-06 17:00:00,10,Minto Park,25.4352,81.882,207.0,24.58,120,81,4,51,Light Rain,Friday,0,0,4.29,125,24,19,39,0,17
4338,2023-01-04 00:10:00,8,Jhunsi,25.4326,81.9061,50.0,42.92,120,64,4,52,Clear,Wednesday,0,0,1.08,29,5,7,9,0,0
1046,2023-01-01 17:20:00,6,Allahabad Junction,25.4358,81.8307,67.0,37.2,120,63,4,53,Heatwave,Sunday,1,0,1.04,45,5,2,15,1,17
9434,2023-01-07 13:10:00,4,Tagore Town,25.4675,81.8867,131.0,34.84,120,60,3,57,Clear,Saturday,0,0,2.76,78,14,15,24,1,13
296,2023-01-01 04:50:00,6,Allahabad Junction,25.4358,81.8307,16.0,54.07,120,55,1,64,Heatwave,Sunday,1,0,0.22,13,1,0,2,1,4
6396,2023-01-05 10:30:00,6,Allahabad Junction,25.4358,81.8307,115.0,29.92,120,64,4,52,Light Rain,Thursday,0,0,2.09,71,8,12,24,0,10
4259,2023-01-06 20:30:00,3,Chowk,25.4314,81.8437,189.0,22.7,120,81,6,33,Light Rain,Friday,0,3,3.61,121,18,16,34,0,20
2842,2023-01-02 23:20:00,2,Katra,25.455,81.8463,162.0,29.34,120,72,5,43,Light Rain,Monday,0,0,3.24,94,14,20,34,0,23
7884,2023-01-06 11:20:00,4,Tagore Town,25.4675,81.8867,43.0,41.94,120,64,4,52,Clear,Friday,0,3,0.69,31,3,2,7,0,11
3719,2023-01-03 13:50:00,9,MNNIT Gate,25.492,81.8639,66.0,41.05,120,56,5,59,Clear,Tuesday,0,0,1.66,34,11,8,13,0,13
5930,2023-01-05 02:40:00,10,Minto Park,25.4352,81.882,90.0,40.05,120,68,5,47,Clear,Thursday,0,0,1.54,48,6,8,28,0,2
4116,2023-01-03 20:30:00,6,Allahabad Junction,25.4358,81.8307,195.0,24.71,120,85,3,32,Clear,Tuesday,0,0,4.13,119,20,24,32,0,20
6012,2023-01-05 04:10:00,2,Katra,25.455,81.8463,38.0,42.4,120,60,5,55,Heatwave,Thursday,0,0,0.51,28,1,2,7,0,4
4189,2023-01-03 21:40:00,9,MNNIT Gate,25.492,81.8639,112.0,36.2,120,65,4,51,Clear,Tuesday,0,0,2.22,57,14,7,34,0,21
